# x_kpc y_kpc z_kpc flag luminosity_r_mag
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -2.387467956542968750e+01
1.139578125000000000e+03 4.105078125000000000e+02 4.068906250000000000e+02 1.000000000000000000e+00 -2.286989593505859375e+01
8.617734375000000000e+02 1.206570312500000000e+03 4.052812500000000000e+02 1.000000000000000000e+00 -2.202110290527343750e+01
-1.613710937500000000e+02 -8.025625000000000000e+02 -1.776125000000000000e+03 1.000000000000000000e+00 -2.106605529785156250e+01
1.131671875000000000e+03 8.155703125000000000e+02 1.898593750000000000e+02 1.000000000000000000e+00 -2.109167861938476562e+01
6.740703125000000000e+02 -1.837273437500000000e+03 7.837656250000000000e+02 1.000000000000000000e+00 -2.097713661193847656e+01
-3.887460937500000000e+02 -1.215718750000000000e+03 8.222500000000000000e+02 1.000000000000000000e+00 -2.113643836975097656e+01
5.123281250000000000e+02 -2.285156250000000000e+01 3.082656250000000000e+02 1.000000000000000000e+00 -2.155579757690429688e+01
1.240156250000000000e+02 1.410812500000000000e+03 2.337656250000000000e+02 1.000000000000000000e+00 -2.072296142578125000e+01
-1.350269531250000000e+03 -1.207031250000000000e+02 3.554531250000000000e+02 1.000000000000000000e+00 -2.056701087951660156e+01
-5.178593750000000000e+02 -7.044531250000000000e+02 7.850000000000000000e+02 1.000000000000000000e+00 -2.145364189147949219e+01
1.110781250000000000e+02 5.327343750000000000e+01 4.307968750000000000e+02 1.000000000000000000e+00 -2.143182373046875000e+01
1.468671875000000000e+02 1.433421875000000000e+03 5.273437500000000000e+02 1.000000000000000000e+00 -2.110643386840820312e+01
1.881015625000000000e+02 7.739062500000000000e+01 -8.254687500000000000e+01 1.000000000000000000e+00 -2.124401283264160156e+01
2.657382812500000000e+02 2.141406250000000000e+02 1.657187500000000000e+02 1.000000000000000000e+00 -2.131142425537109375e+01
2.129570312500000000e+02 5.502812500000000000e+02 -1.490937500000000000e+02 1.000000000000000000e+00 -2.111895751953125000e+01
-6.053593750000000000e+02 6.809609375000000000e+02 5.882187500000000000e+02 1.000000000000000000e+00 -2.078902435302734375e+01
1.077210937500000000e+03 -4.070546875000000000e+02 -3.106875000000000000e+02 1.000000000000000000e+00 -2.043764114379882812e+01
1.931000000000000000e+03 -4.122031250000000000e+02 -1.165406250000000000e+03 1.000000000000000000e+00 -2.036316108703613281e+01
1.758140625000000000e+03 -3.851093750000000000e+02 -5.055781250000000000e+02 1.000000000000000000e+00 -2.056285095214843750e+01
5.119218750000000000e+02 -1.386773437500000000e+03 2.667968750000000000e+02 1.000000000000000000e+00 -2.074696731567382812e+01
-1.513046875000000000e+02 7.028125000000000000e+01 1.146406250000000000e+02 1.000000000000000000e+00 -2.118881797790527344e+01
-2.439375000000000000e+02 -1.492773437500000000e+03 2.271562500000000000e+02 1.000000000000000000e+00 -2.049073219299316406e+01
-7.224609375000000000e+01 -9.329140625000000000e+02 8.434375000000000000e+02 1.000000000000000000e+00 -2.091740226745605469e+01
2.216367187500000000e+02 9.955312500000000000e+02 -3.764531250000000000e+02 1.000000000000000000e+00 -2.074283218383789062e+01
3.547265625000000000e+02 4.162500000000000000e+02 3.885156250000000000e+02 1.000000000000000000e+00 -2.090115356445312500e+01
1.987187500000000000e+02 6.656640625000000000e+02 -1.649953125000000000e+03 1.000000000000000000e+00 -2.035082244873046875e+01
-9.796875000000000000e+00 -4.518906250000000000e+02 1.002953125000000000e+03 1.000000000000000000e+00 -2.029192924499511719e+01
4.790234375000000000e+01 3.983906250000000000e+02 -7.654687500000000000e+01 1.000000000000000000e+00 -2.074779319763183594e+01
7.376640625000000000e+02 9.675781250000000000e+02 6.843125000000000000e+02 1.000000000000000000e+00 -2.078238868713378906e+01
-2.925546875000000000e+02 -7.323906250000000000e+02 1.327343750000000000e+02 1.000000000000000000e+00 -2.029767799377441406e+01
-4.820781250000000000e+02 1.943117187500000000e+03 2.262812500000000000e+02 1.000000000000000000e+00 -2.046741104125976562e+01
-4.931445312500000000e+02 8.020625000000000000e+02 -2.503593750000000000e+02 1.000000000000000000e+00 -2.057230377197265625e+01
8.227734375000000000e+01 -2.532812500000000000e+01 -4.348750000000000000e+02 1.000000000000000000e+00 -2.062980079650878906e+01
-9.326406250000000000e+02 8.135468750000000000e+02 6.128906250000000000e+02 1.000000000000000000e+00 -2.044699859619140625e+01
2.348515625000000000e+02 8.120703125000000000e+02 -4.516718750000000000e+02 1.000000000000000000e+00 -2.066969490051269531e+01
-1.326992187500000000e+03 -1.479859375000000000e+03 -1.075078125000000000e+03 1.000000000000000000e+00 -2.011135673522949219e+01
1.401171875000000000e+01 -6.945937500000000000e+02 -2.340625000000000000e+01 1.000000000000000000e+00 -2.038264465332031250e+01
2.914492187500000000e+02 -6.266328125000000000e+02 8.467031250000000000e+02 1.000000000000000000e+00 -2.030497169494628906e+01
4.642578125000000000e+02 -2.154101562500000000e+03 -3.156093750000000000e+02 1.000000000000000000e+00 -2.033343696594238281e+01
1.281226562500000000e+03 6.964609375000000000e+02 -9.782968750000000000e+02 1.000000000000000000e+00 -1.998289680480957031e+01
-5.789375000000000000e+02 -1.193906250000000000e+02 -8.961093750000000000e+02 1.000000000000000000e+00 -2.029568862915039062e+01
5.126953125000000000e+01 1.411648437500000000e+03 1.117328125000000000e+03 1.000000000000000000e+00 -2.016133880615234375e+01
1.457515625000000000e+03 6.325390625000000000e+02 7.575156250000000000e+02 1.000000000000000000e+00 -2.061170196533203125e+01
-1.083203125000000000e+01 5.372656250000000000e+01 6.495468750000000000e+02 1.000000000000000000e+00 -2.045169830322265625e+01
3.918906250000000000e+02 4.710312500000000000e+02 1.557031250000000000e+02 1.000000000000000000e+00 -2.044955635070800781e+01
-1.665312500000000000e+02 5.826953125000000000e+02 2.072968750000000000e+02 1.000000000000000000e+00 -2.028048896789550781e+01
-1.992656250000000000e+02 7.449531250000000000e+02 -1.477031250000000000e+02 1.000000000000000000e+00 -2.025150299072265625e+01
2.604335937500000000e+02 5.082812500000000000e+01 -2.481250000000000000e+01 1.000000000000000000e+00 -2.057435989379882812e+01
1.657929687500000000e+02 4.898437500000000000e+01 6.373437500000000000e+01 1.000000000000000000e+00 -2.052984237670898438e+01
-1.204070312500000000e+03 8.378828125000000000e+02 -6.384375000000000000e+02 1.000000000000000000e+00 -2.044148445129394531e+01
2.294765625000000000e+02 1.037445312500000000e+03 1.074703125000000000e+03 1.000000000000000000e+00 -1.985823440551757812e+01
7.348046875000000000e+01 1.453281250000000000e+02 -7.740625000000000000e+01 1.000000000000000000e+00 -2.053285217285156250e+01
2.080742187500000000e+02 -5.678906250000000000e+02 1.483906250000000000e+02 1.000000000000000000e+00 -2.045575141906738281e+01
9.701953125000000000e+01 2.001562500000000000e+03 9.895625000000000000e+02 1.000000000000000000e+00 -1.998928642272949219e+01
2.269531250000000000e+01 1.517812500000000000e+02 -7.426562500000000000e+01 1.000000000000000000e+00 -2.041320419311523438e+01
1.167015625000000000e+03 1.783703125000000000e+03 -1.943906250000000000e+02 1.000000000000000000e+00 -2.003063583374023438e+01
-3.166289062500000000e+02 -1.060335937500000000e+03 -6.615781250000000000e+02 1.000000000000000000e+00 -2.015793037414550781e+01
-5.985156250000000000e+01 5.696562500000000000e+02 -4.433281250000000000e+02 1.000000000000000000e+00 -2.026471900939941406e+01
2.065968750000000000e+03 -7.768281250000000000e+02 5.268750000000000000e+01 1.000000000000000000e+00 -1.881190299987792969e+01
1.034804687500000000e+02 -9.833203125000000000e+02 -8.645781250000000000e+02 1.000000000000000000e+00 -1.956141662597656250e+01
9.488867187500000000e+02 1.436195312500000000e+03 4.706562500000000000e+02 1.000000000000000000e+00 -2.026026916503906250e+01
-3.582812500000000000e+01 -1.343289062500000000e+03 -7.561718750000000000e+02 1.000000000000000000e+00 -2.021428489685058594e+01
2.882382812500000000e+02 -1.049617187500000000e+03 -1.209000000000000000e+03 1.000000000000000000e+00 -1.981169319152832031e+01
9.472968750000000000e+02 -2.900468750000000000e+02 1.246218750000000000e+03 1.000000000000000000e+00 -1.993980598449707031e+01
-7.711210937500000000e+02 1.116093750000000000e+02 -4.645625000000000000e+02 1.000000000000000000e+00 -2.032064437866210938e+01
1.441406250000000000e+02 -1.168984375000000000e+02 -2.677656250000000000e+02 1.000000000000000000e+00 -2.024930191040039062e+01
1.417875000000000000e+03 -1.258093750000000000e+03 -1.103437500000000000e+02 1.000000000000000000e+00 -1.823047065734863281e+01
1.539789062500000000e+03 8.334375000000000000e+01 5.258437500000000000e+02 1.000000000000000000e+00 -1.994761276245117188e+01
-6.210937500000000000e+00 -1.500234375000000000e+02 -2.432031250000000000e+02 1.000000000000000000e+00 -2.027015495300292969e+01
-3.715000000000000000e+02 1.647007812500000000e+03 -1.777812500000000000e+02 1.000000000000000000e+00 -1.963359260559082031e+01
4.473476562500000000e+02 2.572187500000000000e+02 -2.148656250000000000e+03 1.000000000000000000e+00 -1.940069198608398438e+01
-6.672070312500000000e+02 1.402343750000000000e+02 -1.392656250000000000e+02 1.000000000000000000e+00 -2.004080772399902344e+01
-1.048523437500000000e+03 -3.375000000000000000e+02 -6.101093750000000000e+02 1.000000000000000000e+00 -1.964245605468750000e+01
4.956445312500000000e+02 5.777421875000000000e+02 1.183046875000000000e+03 1.000000000000000000e+00 -1.993843269348144531e+01
1.123109375000000000e+03 -9.197968750000000000e+02 -1.143500000000000000e+03 1.000000000000000000e+00 -1.929733276367187500e+01
1.113179687500000000e+03 -1.350000000000000000e+01 -2.695937500000000000e+02 1.000000000000000000e+00 -1.984531974792480469e+01
1.383554687500000000e+03 -1.922265625000000000e+02 1.033468750000000000e+03 1.000000000000000000e+00 -1.926807403564453125e+01
2.650156250000000000e+02 2.698437500000000000e+01 2.507343750000000000e+02 1.000000000000000000e+00 -2.014361572265625000e+01
-3.792617187500000000e+02 -4.294453125000000000e+02 2.668125000000000000e+02 1.000000000000000000e+00 -1.978790664672851562e+01
4.413906250000000000e+02 3.892265625000000000e+02 4.668906250000000000e+02 1.000000000000000000e+00 -1.989863395690917969e+01
4.724570312500000000e+02 -8.718750000000000000e+00 4.011093750000000000e+02 1.000000000000000000e+00 -2.008513069152832031e+01
1.108375000000000000e+03 2.341406250000000000e+02 1.842656250000000000e+02 1.000000000000000000e+00 -1.977766418457031250e+01
1.301601562500000000e+02 7.466328125000000000e+02 2.026562500000000000e+01 1.000000000000000000e+00 -1.998808479309082031e+01
-2.595312500000000000e+02 1.331250000000000000e+02 -4.908593750000000000e+02 1.000000000000000000e+00 -1.981023216247558594e+01
6.582070312500000000e+02 6.534296875000000000e+02 1.382796875000000000e+03 1.000000000000000000e+00 -1.974798583984375000e+01
4.170625000000000000e+02 4.870781250000000000e+02 1.271187500000000000e+03 1.000000000000000000e+00 -1.980032539367675781e+01
-1.575390625000000000e+01 4.301796875000000000e+02 1.245625000000000000e+02 1.000000000000000000e+00 -1.994472694396972656e+01
4.270703125000000000e+01 -2.808593750000000000e+01 1.287343750000000000e+02 1.000000000000000000e+00 -1.993530654907226562e+01
1.316570312500000000e+03 -8.184687500000000000e+02 1.377500000000000000e+03 1.000000000000000000e+00 -1.960095405578613281e+01
-3.053671875000000000e+02 1.495429687500000000e+03 1.689125000000000000e+03 1.000000000000000000e+00 -1.919592094421386719e+01
1.683593750000000000e+03 1.394843750000000000e+03 -9.536406250000000000e+02 1.000000000000000000e+00 -1.877353286743164062e+01
-3.139140625000000000e+02 -5.128515625000000000e+02 1.064062500000000000e+02 1.000000000000000000e+00 -1.953864097595214844e+01
-4.430039062500000000e+02 4.853515625000000000e+02 -4.250312500000000000e+02 1.000000000000000000e+00 -1.986706542968750000e+01
-2.828437500000000000e+02 4.227187500000000000e+02 -1.277187500000000000e+03 1.000000000000000000e+00 -1.944387817382812500e+01
1.854375000000000000e+02 -1.289679687500000000e+03 -1.144531250000000000e+03 1.000000000000000000e+00 -1.973990249633789062e+01
3.990039062500000000e+02 9.337500000000000000e+02 -2.875625000000000000e+02 1.000000000000000000e+00 -1.960253715515136719e+01
1.782328125000000000e+03 -4.813281250000000000e+02 -5.623437500000000000e+02 1.000000000000000000e+00 -1.959479904174804688e+01
-3.681484375000000000e+02 -1.190070312500000000e+03 1.936015625000000000e+03 1.000000000000000000e+00 -1.916577529907226562e+01
-1.598710937500000000e+02 4.436171875000000000e+02 -2.570625000000000000e+02 1.000000000000000000e+00 -1.980737113952636719e+01
2.525898437500000000e+02 -5.036093750000000000e+02 1.601562500000000000e+01 1.000000000000000000e+00 -1.983272933959960938e+01
5.419257812500000000e+02 2.989765625000000000e+02 6.439062500000000000e+01 1.000000000000000000e+00 -1.962300491333007812e+01
6.080156250000000000e+02 1.748750000000000000e+02 1.887328125000000000e+03 1.000000000000000000e+00 -1.903240394592285156e+01
-1.798085937500000000e+02 1.402500000000000000e+02 -6.249218750000000000e+02 1.000000000000000000e+00 -1.944827079772949219e+01
1.207398437500000000e+03 -1.538960937500000000e+03 -1.204765625000000000e+03 1.000000000000000000e+00 -1.889094543457031250e+01
3.818945312500000000e+02 6.278203125000000000e+02 4.525156250000000000e+02 1.000000000000000000e+00 -1.951261520385742188e+01
8.524609375000000000e+01 -1.188437500000000000e+03 4.504218750000000000e+02 1.000000000000000000e+00 -1.873004913330078125e+01
-9.787109375000000000e+01 -2.892734375000000000e+02 -8.255781250000000000e+02 1.000000000000000000e+00 -1.911683082580566406e+01
1.331898437500000000e+03 5.817265625000000000e+02 -1.879812500000000000e+03 1.000000000000000000e+00 -1.846745872497558594e+01
-2.771914062500000000e+02 1.446406250000000000e+02 -9.339062500000000000e+01 1.000000000000000000e+00 -1.956162452697753906e+01
3.577421875000000000e+02 1.732812500000000000e+03 -4.737656250000000000e+02 1.000000000000000000e+00 -1.912244415283203125e+01
-1.400109375000000000e+03 -1.559710937500000000e+03 8.046718750000000000e+02 1.000000000000000000e+00 -1.904421234130859375e+01
8.675507812500000000e+02 3.423125000000000000e+02 6.461875000000000000e+02 1.000000000000000000e+00 -1.955606651306152344e+01
-3.273945312500000000e+02 -1.263515625000000000e+02 4.775468750000000000e+02 1.000000000000000000e+00 -1.937768554687500000e+01
7.238085937500000000e+02 -1.557343750000000000e+03 1.263296875000000000e+03 1.000000000000000000e+00 -1.862935066223144531e+01
7.581992187500000000e+02 -1.632968750000000000e+02 6.668906250000000000e+02 1.000000000000000000e+00 -1.916884040832519531e+01
7.118125000000000000e+02 -6.036015625000000000e+02 9.341875000000000000e+02 1.000000000000000000e+00 -1.905139541625976562e+01
6.844687500000000000e+02 -3.266406250000000000e+01 1.551593750000000000e+03 1.000000000000000000e+00 -1.890068244934082031e+01
6.611875000000000000e+02 5.099687500000000000e+02 -1.737015625000000000e+03 1.000000000000000000e+00 -1.881639289855957031e+01
8.075898437500000000e+02 1.896031250000000000e+03 -1.191328125000000000e+03 1.000000000000000000e+00 -1.836261940002441406e+01
2.237109375000000000e+01 1.545078125000000000e+02 -5.870312500000000000e+01 1.000000000000000000e+00 -1.943844032287597656e+01
1.077523437500000000e+03 -3.247500000000000000e+02 -1.133375000000000000e+03 1.000000000000000000e+00 -1.895939636230468750e+01
1.455843750000000000e+03 1.222281250000000000e+03 -6.737031250000000000e+02 1.000000000000000000e+00 -1.851630592346191406e+01
2.394882812500000000e+02 6.749140625000000000e+02 9.491562500000000000e+02 1.000000000000000000e+00 -1.933187675476074219e+01
1.364132812500000000e+03 8.203515625000000000e+02 5.817656250000000000e+02 1.000000000000000000e+00 -1.842374038696289062e+01
-8.012382812500000000e+02 -1.014515625000000000e+03 8.339375000000000000e+02 1.000000000000000000e+00 -1.868389129638671875e+01
9.742304687500000000e+02 -1.481187500000000000e+03 1.122375000000000000e+03 1.000000000000000000e+00 -1.893164443969726562e+01
3.094921875000000000e+01 1.011835937500000000e+03 -3.089687500000000000e+02 1.000000000000000000e+00 -1.931849479675292969e+01
4.311210937500000000e+02 -1.090562500000000000e+03 -6.835937500000000000e+01 1.000000000000000000e+00 -1.851520729064941406e+01
