id 	,numSat 	,sumFlags 	,mass 	,centralMass 	,centralFlag 	,centralRband 	,firstSatMass 	,firstSatFlag 	,firstSatRband 
0 	,626 	,626 	,1.94e+15 	,1.17e+13 	,True 	,-2.7e+01 	,1.20e+12 	,True 	,-2.4e+01 
1 	,51 	,51 	,1.12e+14 	,5.30e+10 	,True 	,-2.1e+01 	,1.77e+11 	,True 	,-2.2e+01 
4356618 	,511 	,511 	,1.62e+15 	,1.12e+13 	,True 	,-2.7e+01 	,3.33e+11 	,True 	,-2.3e+01 
4356619 	,45 	,45 	,2.38e+14 	,1.83e+12 	,True 	,-2.5e+01 	,4.98e+11 	,True 	,-2.3e+01 
4356621 	,25 	,25 	,2.11e+14 	,5.02e+12 	,True 	,-2.6e+01 	,5.21e+10 	,True 	,-2.1e+01 
4356625 	,21 	,21 	,1.97e+14 	,4.72e+12 	,True 	,-2.6e+01 	,6.56e+10 	,True 	,-2.1e+01 
4461296 	,383 	,383 	,1.17e+15 	,8.61e+12 	,True 	,-2.6e+01 	,3.51e+11 	,True 	,-2.3e+01 
4461297 	,51 	,51 	,3.23e+14 	,4.26e+12 	,True 	,-2.6e+01 	,1.30e+11 	,True 	,-2.2e+01 
4461299 	,45 	,45 	,3.39e+14 	,2.52e+12 	,True 	,-2.5e+01 	,2.98e+11 	,True 	,-2.3e+01 
4461300 	,19 	,19 	,1.50e+14 	,2.67e+12 	,True 	,-2.5e+01 	,2.39e+11 	,True 	,-2.2e+01 
4461316 	,7 	,7 	,1.07e+14 	,3.18e+12 	,True 	,-2.6e+01 	,3.28e+09 	,True 	,-1.8e+01 
4461317 	,4 	,4 	,1.02e+14 	,6.78e+11 	,True 	,-2.4e+01 	,3.04e+10 	,True 	,-2.1e+01 
4561713 	,464 	,464 	,1.30e+15 	,6.54e+12 	,True 	,-2.6e+01 	,2.32e+12 	,True 	,-2.5e+01 
4656216 	,530 	,530 	,1.51e+15 	,1.05e+13 	,True 	,-2.7e+01 	,7.48e+11 	,True 	,-2.4e+01 
4753637 	,214 	,214 	,6.44e+14 	,6.20e+12 	,True 	,-2.6e+01 	,3.40e+11 	,True 	,-2.3e+01 
476245 	,537 	,537 	,1.43e+15 	,7.79e+12 	,True 	,-2.6e+01 	,3.37e+11 	,True 	,-2.4e+01 
4753638 	,22 	,22 	,1.39e+14 	,2.60e+12 	,True 	,-2.5e+01 	,1.71e+11 	,True 	,-2.2e+01 
4753639 	,16 	,16 	,1.17e+14 	,1.64e+12 	,True 	,-2.5e+01 	,3.89e+10 	,True 	,-2.1e+01 
476246 	,65 	,65 	,1.95e+14 	,1.98e+12 	,True 	,-2.5e+01 	,1.47e+11 	,True 	,-2.2e+01 
4753653 	,10 	,10 	,1.38e+14 	,1.94e+12 	,True 	,-2.5e+01 	,8.69e+09 	,True 	,-1.9e+01 
476247 	,86 	,86 	,9.65e+14 	,8.56e+12 	,True 	,-2.6e+01 	,7.61e+11 	,True 	,-2.4e+01 
4854863 	,432 	,432 	,1.35e+15 	,9.95e+12 	,True 	,-2.7e+01 	,1.05e+12 	,True 	,-2.4e+01 
4854864 	,45 	,45 	,1.66e+14 	,2.95e+12 	,True 	,-2.5e+01 	,1.01e+11 	,True 	,-2.2e+01 
476248 	,27 	,27 	,1.04e+14 	,1.51e+12 	,True 	,-2.5e+01 	,7.79e+10 	,True 	,-2.1e+01 
4854891 	,3 	,3 	,1.46e+14 	,5.38e+12 	,True 	,-2.6e+01 	,1.57e+11 	,True 	,-2.3e+01 
4959833 	,481 	,481 	,1.44e+15 	,8.70e+12 	,True 	,-2.7e+01 	,5.31e+11 	,True 	,-2.3e+01 
4959834 	,27 	,27 	,1.47e+14 	,2.17e+12 	,True 	,-2.5e+01 	,1.13e+11 	,True 	,-2.2e+01 
476250 	,33 	,33 	,5.24e+14 	,5.41e+12 	,True 	,-2.6e+01 	,4.73e+10 	,True 	,-2.1e+01 
5059214 	,417 	,417 	,1.23e+15 	,7.30e+12 	,True 	,-2.7e+01 	,9.24e+11 	,True 	,-2.4e+01 
5059215 	,29 	,29 	,1.25e+14 	,8.42e+11 	,True 	,-2.4e+01 	,5.79e+10 	,True 	,-2.1e+01 
5059217 	,13 	,13 	,1.57e+14 	,4.37e+12 	,True 	,-2.6e+01 	,2.31e+10 	,True 	,-2e+01 
5059224 	,7 	,7 	,1.53e+14 	,5.16e+12 	,True 	,-2.6e+01 	,5.63e+10 	,True 	,-2.1e+01 
5059225 	,7 	,7 	,1.50e+14 	,3.34e+12 	,True 	,-2.6e+01 	,6.65e+10 	,True 	,-2.2e+01 
5059238 	,6 	,6 	,4.54e+14 	,4.99e+12 	,True 	,-2.6e+01 	,2.67e+10 	,True 	,-2e+01 
5160063 	,524 	,524 	,1.41e+15 	,4.76e+12 	,True 	,-2.6e+01 	,4.44e+12 	,True 	,-2.6e+01 
5160064 	,26 	,26 	,6.02e+14 	,1.11e+13 	,True 	,-2.7e+01 	,1.30e+11 	,True 	,-2.2e+01 
5160065 	,21 	,21 	,1.50e+14 	,2.70e+12 	,True 	,-2.5e+01 	,1.07e+11 	,True 	,-2.2e+01 
5160131 	,1 	,1 	,1.44e+14 	,3.84e+12 	,True 	,-2.6e+01 	,8.19e+09 	,True 	,-1.9e+01 
5251697 	,244 	,244 	,7.18e+14 	,4.81e+12 	,True 	,-2.6e+01 	,6.74e+11 	,True 	,-2.4e+01 
5251698 	,75 	,75 	,1.94e+14 	,1.85e+12 	,True 	,-2.5e+01 	,4.52e+11 	,True 	,-2.4e+01 
5251706 	,16 	,16 	,1.18e+14 	,6.84e+11 	,True 	,-2.4e+01 	,8.62e+10 	,True 	,-2.2e+01 
5251747 	,3 	,3 	,4.68e+14 	,3.92e+12 	,True 	,-2.6e+01 	,2.18e+11 	,True 	,-2.3e+01 
5348819 	,390 	,390 	,1.03e+15 	,3.31e+12 	,True 	,-2.5e+01 	,2.10e+12 	,True 	,-2.5e+01 
5348822 	,28 	,28 	,4.03e+14 	,1.04e+13 	,True 	,-2.7e+01 	,5.05e+10 	,True 	,-2.1e+01 
5432141 	,467 	,467 	,1.25e+15 	,6.79e+12 	,True 	,-2.6e+01 	,8.22e+11 	,True 	,-2.4e+01 
5432142 	,38 	,38 	,1.36e+14 	,2.29e+12 	,True 	,-2.5e+01 	,1.42e+11 	,True 	,-2.2e+01 
5524229 	,432 	,432 	,1.30e+15 	,1.45e+13 	,True 	,-2.7e+01 	,5.87e+11 	,True 	,-2.3e+01 
5524230 	,33 	,33 	,1.21e+14 	,9.09e+11 	,True 	,-2.4e+01 	,2.93e+11 	,True 	,-2.3e+01 
5608717 	,462 	,462 	,1.27e+15 	,8.05e+12 	,True 	,-2.6e+01 	,9.44e+11 	,True 	,-2.4e+01 
5608718 	,28 	,28 	,2.60e+14 	,4.63e+12 	,True 	,-2.6e+01 	,1.00e+11 	,True 	,-2.2e+01 
5693289 	,547 	,547 	,1.47e+15 	,7.75e+12 	,True 	,-2.6e+01 	,1.68e+12 	,True 	,-2.5e+01 
5693291 	,22 	,22 	,1.20e+14 	,1.36e+12 	,True 	,-2.4e+01 	,1.17e+11 	,True 	,-2.2e+01 
5693297 	,17 	,17 	,1.63e+14 	,5.42e+12 	,True 	,-2.6e+01 	,6.49e+10 	,True 	,-2.1e+01 
5693300 	,7 	,7 	,1.38e+14 	,1.14e+12 	,True 	,-2.4e+01 	,5.70e+10 	,True 	,-2.1e+01 
5693323 	,3 	,3 	,2.26e+14 	,4.52e+10 	,True 	,-2.1e+01 	,8.83e+09 	,True 	,-1.9e+01 
5693339 	,4 	,4 	,6.94e+14 	,3.82e+12 	,True 	,-2.6e+01 	,5.03e+09 	,True 	,-1.9e+01 
5787144 	,146 	,146 	,4.67e+14 	,4.04e+12 	,True 	,-2.6e+01 	,3.26e+11 	,True 	,-2.3e+01 
5787145 	,28 	,28 	,2.24e+14 	,5.60e+12 	,True 	,-2.6e+01 	,3.12e+10 	,True 	,-2.1e+01 
5787160 	,2 	,2 	,2.45e+14 	,5.56e+12 	,True 	,-2.6e+01 	,4.20e+09 	,True 	,-1.8e+01 
5873398 	,542 	,542 	,1.45e+15 	,7.03e+12 	,True 	,-2.6e+01 	,1.76e+12 	,True 	,-2.5e+01 
5956970 	,502 	,502 	,1.43e+15 	,7.60e+12 	,True 	,-2.6e+01 	,1.38e+12 	,True 	,-2.4e+01 
5956971 	,44 	,44 	,1.32e+14 	,1.75e+12 	,True 	,-2.5e+01 	,2.48e+11 	,True 	,-2.3e+01 
5956972 	,26 	,26 	,1.32e+14 	,9.82e+11 	,True 	,-2.6e+01 	,1.31e+11 	,True 	,-2.2e+01 
5956977 	,7 	,7 	,1.18e+14 	,1.38e+12 	,True 	,-2.5e+01 	,6.99e+10 	,True 	,-2.1e+01 
6043040 	,527 	,527 	,1.46e+15 	,8.43e+12 	,True 	,-2.6e+01 	,4.37e+11 	,True 	,-2.3e+01 
6043043 	,16 	,16 	,1.25e+14 	,2.33e+12 	,True 	,-2.5e+01 	,4.02e+10 	,True 	,-2.1e+01 
6043056 	,3 	,3 	,1.02e+14 	,4.01e+12 	,True 	,-2.6e+01 	,1.65e+08 	,True 	,-1.5e+01 
6130348 	,188 	,188 	,6.33e+14 	,5.91e+12 	,True 	,-2.6e+01 	,2.81e+11 	,True 	,-2.3e+01 
6130349 	,46 	,46 	,1.38e+14 	,1.36e+12 	,True 	,-2.4e+01 	,2.10e+11 	,True 	,-2.2e+01 
6130350 	,31 	,31 	,2.25e+14 	,2.07e+12 	,True 	,-2.5e+01 	,3.97e+11 	,True 	,-2.3e+01 
